Date_No,date, Linc,  L2025,  L2030,  L2035,  L2040,  L2045,  L2050,  L2055,  L2060,  L2065,  G,  F,  C,  S,  I
4336,3/12/2021,22.5488,11.4494,40.045,11.983,45.188,12.3448,26.9679,13.1253,13.1252,13.125,16.5409,20.4879,58.8906,83.291,36.6904
4335,3/11/2021,22.55,11.4474,40.0342,11.9795,45.1723,12.3401,26.9559,13.112,13.1119,13.1118,16.5403,20.5964,58.8159,82.9816,36.7071
4334,3/10/2021,22.4903,11.3832,39.7503,11.8861,44.7876,12.2271,26.6921,12.9567,12.9567,12.9565,16.5397,20.5995,58.2064,80.8858,36.4054
4333,3/9/2021,22.4591,11.3511,39.6099,11.84,44.599,12.1718,26.5639,12.8832,12.8831,12.8829,16.5391,20.5722,57.8543,80.0832,36.2826
4332,3/8/2021,22.3835,11.2723,39.2642,11.7265,44.1335,12.0355,26.2471,12.7007,12.7006,12.7004,16.5385,20.5137,57.0422,78.1558,35.9095
4331,3/5/2021,22.4086,11.2983,39.3785,11.7641,44.2871,12.0804,26.3509,12.7582,12.7581,12.7579,16.5366,20.5751,57.3487,78.594,36.0141
4330,3/4/2021,22.3383,11.2231,39.0482,11.656,43.8447,11.9515,26.0516,12.5816,12.5815,12.5814,16.536,20.5958,56.2495,77.3815,35.8006
4329,3/3/2021,22.4124,11.3013,39.3931,11.7695,44.3113,12.0886,26.3706,12.7655,12.7654,12.7653,16.5354,20.6606,57.0046,79.6423,36.174
4328,3/2/2021,22.4699,11.3615,39.6579,11.8567,44.6691,12.1936,26.6147,12.9052,12.9052,12.9051,16.5348,20.7282,57.7561,81.3746,36.3008
4327,3/1/2021,22.5003,11.3956,39.809,11.9065,44.8744,12.254,26.7559,12.9893,12.9893,12.9892,16.5342,20.7061,58.2263,82.7846,36.288
4326,2/26/2021,22.3956,11.2825,39.3109,11.7431,44.2037,12.0579,26.2994,12.7194,12.7194,12.7194,16.5337,20.7403,56.8721,80.2962,35.7955
4325,2/25/2021,22.4202,11.3155,39.4599,11.7918,44.4049,12.1163,26.4366,12.8102,12.8101,12.8099,16.5322,20.5702,57.1374,80.0033,36.3578
4324,2/24/2021,22.5432,11.4429,40.0194,11.9758,45.1591,12.3373,26.9499,13.1027,13.1027,13.1026,16.5317,20.734,58.5631,83.0091,36.8649
4323,2/23/2021,22.5051,11.4014,39.8362,11.9157,44.9123,12.2651,26.7817,13.0024,13.0024,13.0024,16.5313,20.7584,57.9049,81.9282,36.8513
4322,2/22/2021,22.5055,11.4022,39.8403,11.9173,44.9197,12.2677,26.7882,13.0058,13.0058,13.0057,16.5308,20.769,57.8311,82.4579,36.8414
4321,2/19/2021,22.5378,11.4366,39.9931,11.9678,45.1278,12.3291,26.9313,13.0871,13.0872,13.0872,16.5293,20.8213,58.2765,83.8982,36.8219
4320,2/18/2021,22.527,11.4224,39.9277,11.9459,45.0352,12.3011,26.8644,13.0438,13.0439,13.0439,16.5288,20.8859,58.3815,82.5045,36.6474
4319,2/17/2021,22.5547,11.4528,40.0626,11.9904,45.219,12.3553,26.991,13.1183,13.1184,13.1184,16.5283,20.8903,58.6382,83.5239,36.8246
4318,2/16/2021,22.5768,11.4783,40.1771,12.0283,45.3757,12.4016,27.0996,13.1843,13.1844,13.1844,16.5278,20.8572,58.6471,84.2682,37.2076
4317,2/12/2021,22.5607,11.4599,40.0961,12.002,45.268,12.3705,27.027,13.1371,13.1372,13.1372,16.5258,20.9403,58.6737,84.7162,36.7143
4316,2/11/2021,22.5431,11.4393,40.0044,11.9719,45.1442,12.3343,26.9423,13.0839,13.084,13.0841,16.5253,21.0006,58.3956,84.2945,36.611
4315,2/10/2021,22.531,11.4259,39.9446,11.9523,45.063,12.3105,26.8865,13.0497,13.0498,13.0499,16.5248,21.024,58.2868,83.8722,36.5121
4314,2/9/2021,22.5267,11.4226,39.9309,11.9478,45.0453,12.3054,26.8749,13.0447,13.0448,13.0449,16.5244,20.9936,58.3054,83.9468,36.442
4313,2/8/2021,22.5183,11.4139,39.8926,11.9351,44.9928,12.2897,26.8383,13.0235,13.0236,13.0237,16.5239,20.9885,58.3606,83.5447,36.3007
4312,2/5/2021,22.4674,11.3608,39.6596,11.8586,44.6783,12.1974,26.6235,12.8988,12.8989,12.899,16.5224,20.9665,57.9305,82.0544,35.9659
4311,2/4/2021,22.4359,11.3263,39.5068,11.8083,44.4713,12.1366,26.4813,12.8141,12.8142,12.8142,16.5219,20.993,57.6991,80.9951,35.693
4310,2/3/2021,22.3972,11.2851,39.3258,11.7489,44.2272,12.0651,26.3149,12.7167,12.7168,12.7169,16.5214,20.9923,57.0737,79.6231,35.7287
4309,2/2/2021,22.385,11.2712,39.2641,11.7287,44.1441,12.0408,26.2582,12.6816,12.6817,12.6818,16.5209,21.0289,57.0159,79.4286,35.5329
4308,2/1/2021,22.3238,11.2055,38.9759,11.6343,43.7578,11.9281,25.9961,12.5275,12.5276,12.5277,16.5205,21.0586,56.2338,78.0376,35.2537
4307,1/29/2021,22.2547,11.1323,38.6548,11.529,43.3262,11.8019,25.7029,12.3569,12.357,12.3571,16.5201,21.0455,55.3453,76.3173,35.0033
4306,1/28/2021,22.3439,11.2273,39.0708,11.6652,43.8829,11.964,26.0789,12.5752,12.5753,12.5754,16.5189,21.0648,56.428,77.4542,35.5876
4305,1/27/2021,22.3098,11.1902,38.9077,11.6117,43.6634,11.8999,25.9297,12.4866,12.4867,12.4868,16.5186,21.087,55.8775,76.5946,35.5295
4304,1/26/2021,22.4243,11.3132,39.4487,11.7891,44.3904,12.1121,26.4229,12.7758,12.7759,12.776,16.5182,21.0811,57.3503,78.6099,36.1695
4303,1/25/2021,22.429,11.3187,39.4738,11.7976,44.4263,12.1231,26.449,12.791,12.7911,12.7912,16.5178,21.0851,57.4356,79.4762,36.0432
4302,1/22/2021,22.4267,11.3188,39.4765,11.7987,44.4321,12.1251,26.4545,12.7971,12.7972,12.7973,16.5166,21.038,57.2283,79.603,36.2547
4301,1/21/2021,22.4384,11.3316,39.5322,11.8167,44.5052,12.146,26.5028,12.8256,12.8257,12.8258,16.5163,21.0312,57.4005,79.1682,36.4215
4300,1/20/2021,22.4342,11.3266,39.5104,11.8098,44.4773,12.1383,26.4848,12.8135,12.8136,12.8137,16.5159,21.063,57.3777,79.6544,36.2434
4299,1/19/2021,22.3858,11.2756,39.2876,11.737,44.1801,12.0519,26.2847,12.697,12.6971,12.6972,16.5155,21.0574,56.5891,79.0346,36.1259
4298,1/15/2021,22.3489,11.238,39.1234,11.6832,43.9601,11.9876,26.1356,12.6111,12.6112,12.6113,16.514,21.0356,56.1305,78.1968,36.0051
4297,1/14/2021,22.3929,11.2863,39.3367,11.7533,44.2479,12.0719,26.3318,12.7275,12.7276,12.7277,16.5136,21.0084,56.5362,79.1185,36.4087
4296,1/13/2021,22.3878,11.2796,39.3057,11.7428,44.2032,12.0582,26.2989,12.7063,12.7064,12.7065,16.5132,21.0394,56.7413,78.3317,36.2083
4295,1/12/2021,22.3766,11.2704,39.2677,11.7305,44.1546,12.0444,26.268,12.6922,12.6923,12.6923,16.5129,20.9709,56.6117,78.7311,36.1288
4294,1/11/2021,22.3622,11.2545,39.1966,11.7069,44.0561,12.0149,26.1986,12.6511,12.6512,12.6512,16.5125,20.976,56.5882,77.5631,36.0531
4293,1/8/2021,22.4015,11.2964,39.3802,11.7669,44.3015,12.0862,26.3637,12.7465,12.7466,12.7467,16.5113,20.9966,56.9622,77.5623,36.5009
4292,1/7/2021,22.3694,11.2619,39.2293,11.7177,44.1003,12.0278,26.2283,12.6663,12.6664,12.6665,16.511,21.0204,56.644,77.5131,36.1346
4291,1/6/2021,22.3146,11.2033,38.9716,11.6332,43.7539,11.9265,25.9927,12.5283,12.5283,12.5284,16.5106,21.0339,55.8038,75.8003,36.1161
4290,1/5/2021,22.2686,11.151,38.7397,11.557,43.4397,11.8342,25.7768,12.3971,12.3972,12.3974,16.5102,21.1343,55.4862,74.2207,35.65
4289,1/4/2021,22.2429,11.1219,38.611,11.5147,43.2656,11.7831,25.6574,12.3247,12.3248,12.325,16.5099,21.1862,55.089,73.1568,35.6329
4288,12/31/2020,22.2777,11.1596,38.777,11.5691,43.4882,11.848,25.8081,12.412,12.4121,12.4123,16.5083,21.1961,55.9119,74.2011,35.3888
4287,12/30/2020,22.2726,11.1555,38.7605,11.564,43.4687,11.8429,25.797,12.4068,12.4069,12.4071,16.5079,21.1768,55.55,74.453,35.618
4286,12/29/2020,22.2601,11.1422,38.7036,11.5453,43.3914,11.82,25.7436,12.3764,12.3765,12.3767,16.5075,21.1628,55.4696,73.8024,35.5781
4285,12/28/2020,22.2517,11.1338,38.6689,11.5342,43.3473,11.8077,25.7157,12.3606,12.3607,12.3609,16.5072,21.1587,55.5933,74.7005,35.1518
4284,12/24/2020,22.2205,11.102,38.5355,11.4911,43.174,11.7583,25.6026,12.2957,12.2958,12.2959,16.5056,21.1497,55.1124,75.4766,34.8889
4283,12/23/2020,22.2066,11.0881,38.4775,11.4723,43.0982,11.7365,25.5528,12.2683,12.2683,12.2685,16.5052,21.1234,54.9125,75.624,34.8126
4282,12/22/2020,22.1874,11.0663,38.3838,11.4417,42.9726,11.6999,25.4675,12.2171,12.2172,12.2173,16.5048,21.1542,54.8709,75.4484,34.4679
4281,12/21/2020,22.185,11.0644,38.3753,11.4386,42.9589,11.6952,25.4562,12.2119,12.212,12.2121,16.5045,21.1252,54.981,74.6511,34.4964
4280,12/18/2020,22.2229,11.1068,38.5565,11.4978,43.2007,11.7654,25.6188,12.3068,12.3069,12.3071,16.5033,21.1218,55.1953,74.5379,35.1114
4279,12/17/2020,22.2387,11.1236,38.628,11.5211,43.2949,11.7926,25.6813,12.3424,12.3424,12.3426,16.5029,21.1357,55.3851,74.3614,35.2723
4278,12/16/2020,22.1983,11.0793,38.4381,11.4588,43.0393,11.7177,25.507,12.2411,12.2412,12.2413,16.5025,21.1339,55.0658,73.1929,34.9737
4277,12/15/2020,22.177,11.0569,38.343,11.4278,42.9134,11.6812,25.4227,12.1928,12.1929,12.1931,16.5022,21.1241,54.9683,73.2651,34.6469
4276,12/14/2020,22.131,11.0061,38.126,11.3568,42.623,11.5965,25.2262,12.0777,12.0778,12.078,16.5018,21.1453,54.2663,72.0817,34.5787
4275,12/11/2020,22.1307,11.0065,38.128,11.3574,42.6247,11.5967,25.2263,12.0782,12.0783,12.0784,16.5006,21.1385,54.4938,71.877,34.4238
4274,12/10/2020,22.1438,11.0217,38.1931,11.3788,42.7126,11.6225,25.2864,12.1138,12.1138,12.114,16.5002,21.1259,54.562,72.1858,34.5896
4273,12/9/2020,22.1361,11.0146,38.1625,11.3684,42.6692,11.6091,25.2548,12.0978,12.0979,12.098,16.4999,21.0777,54.6282,71.2063,34.612
4272,12/8/2020,22.1612,11.0413,38.2768,11.406,42.8233,11.6543,25.3599,12.1568,12.1569,12.157,16.4995,21.1181,55.0628,72.3324,34.4672
4271,12/7/2020,22.1476,11.0267,38.2143,11.3854,42.7386,11.6294,25.3016,12.1234,12.1235,12.1236,16.4991,21.1089,54.9085,71.6364,34.4812
4270,12/4/2020,22.1527,11.0344,38.2478,11.3962,42.7829,11.642,25.3311,12.1428,12.1428,12.143,16.4979,21.0663,55.0153,71.3797,34.604
4269,12/3/2020,22.1176,10.9943,38.0753,11.3397,42.5508,11.5741,25.1727,12.0481,12.0482,12.0483,16.4975,21.12,54.529,70.1509,34.525
4268,12/2/2020,22.0966,10.9727,37.9832,11.3094,42.4264,11.5374,25.0875,12.0009,12.001,12.0011,16.4972,21.0772,54.553,69.4698,34.2669
4267,12/1/2020,22.088,10.9632,37.9432,11.2965,42.374,11.5224,25.0528,11.9801,11.9802,11.9803,16.4968,21.0938,54.4504,69.6009,34.1572
4266,11/30/2020,22.0426,10.9118,37.7239,11.2251,42.0825,11.4379,24.8569,11.863,11.8631,11.8632,16.4964,21.1668,53.8426,69.1907,33.8194
4265,11/27/2020,22.0803,10.9544,37.9069,11.285,42.3283,11.5097,25.0239,11.9606,11.9606,11.9608,16.4952,21.1518,54.0824,69.9555,34.2431
4264,11/25/2020,22.0527,10.9262,37.7869,11.2457,42.1678,11.4628,24.9152,11.8999,11.9,11.9001,16.4945,21.1087,53.9482,69.3425,33.9987
4263,11/24/2020,22.0571,10.9309,37.8065,11.252,42.193,11.4698,24.9313,11.909,11.909,11.9092,16.4941,21.112,54.0324,69.1067,34.0506
4262,11/23/2020,21.9712,10.8376,37.4105,11.123,41.6673,11.3173,24.5785,11.7046,11.7047,11.7049,16.4937,21.1336,53.1722,68.1804,33.3313
4261,11/20/2020,21.9537,10.8183,37.3279,11.0959,41.5554,11.2842,24.5011,11.6589,11.6589,11.6591,16.4926,21.156,52.8679,66.9873,33.4891
4260,11/19/2020,21.9607,10.8269,37.3643,11.1076,41.6026,11.2976,24.5318,11.6781,11.6782,11.6784,16.4922,21.1232,53.2293,66.9221,33.3441
4259,11/18/2020,21.9407,10.8066,37.278,11.0792,41.4866,11.2634,24.4527,11.6346,11.6346,11.6348,16.4918,21.0812,53.0165,66.0951,33.3608
4258,11/17/2020,21.9775,10.8468,37.4482,11.1346,41.7115,11.3285,24.6027,11.7215,11.7215,11.7216,16.4915,21.0739,53.6275,66.3616,33.4814
4257,11/16/2020,21.9759,10.8461,37.445,11.1332,41.705,11.3259,24.5963,11.7197,11.7198,11.7199,16.4911,21.0339,53.8774,65.8026,33.3779
4256,11/13/2020,21.9179,10.7843,37.1832,11.0479,41.3575,11.2249,24.3627,11.5855,11.5856,11.5857,16.4899,21.0321,53.2559,64.7439,33.0599
4255,11/12/2020,21.8674,10.7302,36.9541,10.9733,41.0539,11.1368,24.1592,11.4686,11.4687,11.4688,16.4895,21.0311,52.5354,63.8517,32.932
4254,11/10/2020,21.8582,10.7237,36.928,10.9648,41.0203,11.127,24.1373,11.4605,11.4605,11.4605,16.4888,20.9453,52.6519,63.9375,32.7468
4253,11/9/2020,21.8409,10.7049,36.8479,10.9387,40.9134,11.0959,24.0651,11.4183,11.4183,11.4184,16.4884,20.9609,52.7165,63.7591,32.3889
4252,11/6/2020,21.7714,10.6281,36.5229,10.8332,40.4843,10.9718,23.7782,11.2491,11.2492,11.2493,16.4872,21.0612,52.1005,63.3109,31.6423
4251,11/5/2020,21.7681,10.6234,36.5031,10.8268,40.4582,10.9644,23.7608,11.2371,11.2372,11.2373,16.4869,21.1051,52.1089,63.4294,31.5106
4250,11/4/2020,21.6631,10.5128,36.0371,10.6754,39.8435,10.7862,23.3501,11.0042,11.0043,11.0044,16.4865,21.0843,51.1045,61.784,30.8492
4249,11/3/2020,21.5728,10.4222,35.6586,10.5529,39.3488,10.6435,23.0231,10.8248,10.8249,10.8249,16.4861,20.9572,50.0028,60.8118,30.5556
4248,11/2/2020,21.4638,10.307,35.175,10.3961,38.7131,10.4595,22.5994,10.5841,10.5841,10.5842,16.4858,20.9769,49.1277,59.296,29.6925
4247,10/30/2020,21.3998,10.2405,34.8962,10.3057,38.3472,10.3538,22.3561,10.4471,10.4471,10.4472,16.4851,20.9591,48.5296,58.5073,29.2701
4246,10/29/2020,21.4513,10.295,35.1256,10.3802,38.6498,10.4416,22.5586,10.5611,10.5612,10.5612,16.4844,20.9739,49.1202,59.6906,29.425
4245,10/28/2020,21.4199,10.2604,34.9794,10.3329,38.4576,10.3861,22.4306,10.4859,10.4859,10.486,16.4841,21.0248,48.5359,59.1582,29.4311
4244,10/27/2020,21.5789,10.4287,35.6882,10.5629,39.3902,10.6557,23.0513,10.8389,10.839,10.8391,16.4838,21.038,50.312,60.8345,30.4015
4243,10/26/2020,21.5972,10.4496,35.7769,10.5918,39.5082,10.69,23.1308,10.8859,10.8859,10.886,16.4835,21.0089,50.4639,61.1601,30.5798
4242,10/23/2020,21.6745,10.5342,36.1351,10.7083,39.982,10.8273,23.448,11.0692,11.0692,11.0693,16.4825,20.9674,51.4193,62.4007,30.9743
4241,10/22/2020,21.652,10.5107,36.0362,10.6761,39.8513,10.7894,23.3605,11.0198,11.0198,11.0199,16.4821,20.9549,51.2424,62.0365,30.8071
4240,10/21/2020,21.6443,10.5016,35.9968,10.6631,39.7978,10.7736,23.3235,10.9973,10.9973,10.9974,16.4818,20.982,50.9718,61.3093,31.0193
4239,10/20/2020,21.6569,10.515,36.0542,10.682,39.8749,10.7962,23.376,11.0267,11.0268,11.0269,16.4815,20.9953,51.0818,61.8329,31.0463
4238,10/19/2020,21.6396,10.4956,35.9721,10.6555,39.7673,10.7653,23.3048,10.984,10.984,10.9841,16.4812,21.0387,50.8413,61.8859,30.8921
4237,10/16/2020,21.6897,10.5491,36.1978,10.7287,40.0645,10.8512,23.5025,11.0962,11.0963,11.0964,16.4801,21.0538,51.6835,62.5392,30.9418
4236,10/15/2020,21.681,10.54,36.16,10.7166,40.0155,10.8372,23.4704,11.0778,11.0779,11.078,16.4798,21.0564,51.6773,62.7755,30.7444
4235,10/14/2020,21.7163,10.5774,36.3176,10.7677,40.2228,10.897,23.6081,11.156,11.1561,11.1562,16.4795,21.0692,51.7551,62.5285,31.3652
4234,10/13/2020,21.7351,10.5979,36.4044,10.796,40.3376,10.9303,23.6848,11.2002,11.2003,11.2004,16.4792,21.0631,52.0953,62.8782,31.3545
4233,10/9/2020,21.703,10.5668,36.2749,10.754,40.1684,10.8815,23.5731,11.1394,11.1395,11.1396,16.4778,21.0032,51.5806,62.4719,31.3947
4232,10/8/2020,21.6637,10.5251,36.0991,10.6969,39.9368,10.8145,23.4187,11.0512,11.0512,11.0513,16.4775,21.0073,51.1298,61.9937,31.1711
4231,10/7/2020,21.6238,10.4839,35.9259,10.6407,39.709,10.7486,23.2669,10.966,10.9661,10.9662,16.4772,20.981,50.708,61.4357,30.9675
4230,10/6/2020,21.5619,10.4167,35.6422,10.5486,39.3342,10.64,23.0162,10.8209,10.821,10.8211,16.4768,21.0239,49.8398,60.2628,30.7978
4229,10/5/2020,21.607,10.4657,35.8482,10.6152,39.6041,10.7176,23.1948,10.9243,10.9244,10.9245,16.4765,20.984,50.5446,60.5835,30.9627
4228,10/2/2020,21.5243,10.3767,35.4729,10.4933,39.1088,10.5742,22.8637,10.7333,10.7333,10.7335,16.4755,21.0394,49.6472,59.229,30.4846
4227,10/1/2020,21.5541,10.4076,35.6021,10.5351,39.2773,10.6226,22.9745,10.7954,10.7954,10.7956,16.4752,21.0566,50.1265,59.3295,30.5574
4226,9/30/2020,21.5237,10.3755,35.466,10.4907,39.0958,10.5694,22.8514,10.7257,10.7258,10.7259,16.4749,21.0483,49.8576,58.2178,30.4808
4225,9/29/2020,21.5132,10.3632,35.4158,10.4745,39.0303,10.5507,22.8082,10.6998,10.6999,10.7,16.4746,21.0792,49.4486,57.9305,30.6881
4224,9/28/2020,21.5202,10.3718,35.4514,10.486,39.077,10.5641,22.8393,10.7185,10.7186,10.7187,16.4742,21.0551,49.6813,58.1233,30.5961
4223,9/25/2020,21.4343,10.2791,35.0713,10.3628,38.5781,10.4198,22.5073,10.5308,10.5309,10.531,16.4732,21.0546,48.893,56.9157,30.0206
4222,9/24/2020,21.3825,10.2223,34.8382,10.2872,38.2714,10.331,22.3027,10.4144,10.4144,10.4146,16.4729,21.0693,48.123,55.7378,30.0164
4221,9/23/2020,21.3855,10.2259,34.8533,10.2923,38.2925,10.3374,22.3177,10.4227,10.4228,10.4229,16.4726,21.0738,47.9774,55.8642,30.1807
4220,9/22/2020,21.4713,10.3193,35.2372,10.4168,38.7975,10.4836,22.6542,10.6128,10.6128,10.613,16.4723,21.0908,49.1388,57.4905,30.3473
4219,9/21/2020,21.4456,10.2918,35.1248,10.3805,38.6506,10.4413,22.5572,10.5582,10.5582,10.5584,16.472,21.0805,48.628,57.1023,30.4396
4218,9/18/2020,21.5296,10.3852,35.5097,10.5056,39.1588,10.5886,22.8968,10.7519,10.7519,10.7521,16.471,21.0747,49.1957,57.9813,31.3423
4217,9/17/2020,21.5589,10.4167,35.6384,10.5472,39.3266,10.6367,23.0071,10.8138,10.8138,10.814,16.4707,21.0941,49.7521,58.1377,31.3305
4216,9/16/2020,21.5964,10.4586,35.8114,10.6034,39.5551,10.7029,23.1599,10.9014,10.9015,10.9016,16.4704,21.083,50.1729,58.6849,31.5581
4215,9/15/2020,21.5972,10.4592,35.8134,10.6039,39.5562,10.7029,23.1592,10.9006,10.9007,10.9008,16.47,21.0901,50.4047,58.5072,31.3925
4214,9/14/2020,21.576,10.4357,35.7165,10.5724,39.4283,10.6658,23.0736,10.8514,10.8515,10.8517,16.4697,21.1009,50.1418,58.0638,31.3233
4213,9/11/2020,21.5121,10.3662,35.4297,10.479,39.0481,10.5551,22.8178,10.7064,10.7065,10.7066,16.4687,21.0933,49.4946,56.374,31.1003
4212,9/10/2020,21.4935,10.3468,35.3509,10.4536,38.9458,10.5257,22.7507,10.6691,10.6692,10.6693,16.4684,21.0753,49.4665,56.6204,30.7552
4211,9/9/2020,21.5567,10.4166,35.637,10.5462,39.3206,10.6337,22.9991,10.8111,10.8111,10.8112,16.4681,21.0533,50.3492,57.2415,31.0147
4210,9/8/2020,21.4723,10.3232,35.2529,10.4215,38.8147,10.4874,22.6617,10.6178,10.6179,10.618,16.4678,21.0762,49.3524,56.138,30.5456
4209,9/4/2020,21.5748,10.4386,35.7293,10.5765,39.445,10.6702,23.0838,10.8603,10.8603,10.8604,16.4664,21.0419,50.7582,58.0927,30.8661
4208,9/3/2020,21.6104,10.474,35.8748,10.6239,39.6366,10.7258,23.2113,10.9271,10.9272,10.9274,16.4661,21.1669,51.1753,58.6145,30.9329
4207,9/2/2020,21.7527,10.6327,36.5301,10.837,40.5035,10.9771,23.7915,11.2603,11.2604,11.2605,16.4658,21.1424,53.0271,60.9202,31.5383
4206,9/1/2020,21.6886,10.5641,36.2489,10.7459,40.1348,10.8708,23.5474,11.1231,11.1232,11.1233,16.4655,21.0979,52.2193,60.6074,31.1782
4205,8/31/2020,21.6675,10.5423,36.1593,10.7167,40.0166,10.8365,23.4685,11.0801,11.0801,11.0803,16.4652,21.0555,51.828,60.046,31.2929
4204,8/28/2020,21.6686,10.5458,36.1741,10.7215,40.0362,10.842,23.4815,11.09,11.09,11.0901,16.4644,21.0059,51.9359,59.9647,31.3029
4203,8/27/2020,21.6383,10.5131,36.0394,10.6777,39.8587,10.7906,23.363,11.023,11.0231,11.0232,16.4642,20.9903,51.5839,59.541,31.1569
4202,8/26/2020,21.6477,10.5211,36.0717,10.6882,39.9,10.8025,23.3896,11.0348,11.0349,11.035,16.4639,21.0594,51.4946,59.2573,31.3974
4201,8/25/2020,21.6105,10.48,35.9029,10.6335,39.6787,10.7387,23.243,10.9506,10.9506,10.9508,16.4637,21.0743,50.9743,59.0016,31.2121
4200,8/24/2020,21.6015,10.4691,35.8577,10.6189,39.6192,10.7216,23.2032,10.9261,10.9262,10.9264,16.4634,21.1124,50.7909,58.8468,31.2049
4199,8/21/2020,21.5484,10.4115,35.6215,10.5424,39.3091,10.632,22.9972,10.8089,10.809,10.8092,16.4626,21.113,50.2797,58.419,30.7825
4198,8/20/2020,21.5462,10.4098,35.6155,10.5406,39.3027,10.6305,22.9942,10.8078,10.8079,10.808,16.4623,21.1039,50.1044,58.5976,30.8826
4197,8/19/2020,21.5482,10.4132,35.6298,10.5453,39.3222,10.6363,23.0078,10.8168,10.8169,10.817,16.4621,21.0782,49.9451,58.5168,31.1165
4196,8/18/2020,21.5674,10.4343,35.7166,10.5735,39.4366,10.6694,23.0839,10.86,10.8601,10.8602,16.4618,21.0831,50.1581,58.7357,31.2359
4195,8/17/2020,21.5602,10.4272,35.6881,10.5644,39.4007,10.6593,23.0613,10.8477,10.8478,10.8479,16.4616,21.0723,50.0351,58.9669,31.1849
4194,8/14/2020,21.5401,10.406,35.6006,10.5358,39.2841,10.6252,22.9823,10.8035,10.8035,10.8037,16.4608,21.0562,49.8978,58.3233,31.0949
4193,8/13/2020,21.5531,10.42,35.6585,10.5547,39.3606,10.6474,23.0336,10.832,10.8321,10.8322,16.4605,21.0697,49.9033,58.4054,31.3075
4192,8/12/2020,21.5577,10.4231,35.6706,10.5585,39.3752,10.6514,23.0421,10.8341,10.8342,10.8344,16.4603,21.1266,49.993,58.2475,31.2842
4191,8/11/2020,21.485,10.3431,35.3421,10.452,38.9437,10.5268,22.7552,10.6704,10.6705,10.6707,16.46,21.1453,49.2962,57.6233,30.686
4190,8/10/2020,21.5,10.3564,35.3959,10.4695,39.0136,10.547,22.801,10.6919,10.6921,10.6923,16.4598,21.24,49.6924,58.0389,30.4217
4189,8/7/2020,21.4885,10.3442,35.3463,10.4535,38.949,10.5285,22.7583,10.6673,10.6674,10.6676,16.4589,21.2513,49.555,57.9859,30.3493
4188,8/6/2020,21.4913,10.3468,35.3565,10.4568,38.9619,10.5321,22.7664,10.6711,10.6712,10.6714,16.4587,21.2672,49.5137,57.7817,30.4662
4187,8/5/2020,21.4862,10.3426,35.3404,10.4518,38.9428,10.527,22.7555,10.6661,10.6662,10.6664,16.4584,21.2439,49.1916,57.9091,30.6744
4186,8/4/2020,21.4451,10.297,35.1528,10.3909,38.6951,10.4551,22.5895,10.5713,10.5714,10.5716,16.4582,21.2617,48.8782,57.1532,30.3446
4185,8/3/2020,21.4155,10.2669,35.0298,10.351,38.5342,10.4086,22.4829,10.5134,10.5135,10.5137,16.4579,21.2096,48.7017,56.8998,30.0819
4184,7/31/2020,21.3712,10.2185,34.8308,10.2864,38.2717,10.3324,22.3071,10.4131,10.4132,10.4134,16.4569,21.2285,48.3531,56.0108,29.7687
4183,7/30/2020,21.3776,10.2265,34.8652,10.2979,38.3199,10.3471,22.3417,10.4333,10.4334,10.4336,16.4566,21.2192,47.9813,56.3426,30.1872
4182,7/29/2020,21.4081,10.2613,35.0078,10.3441,38.507,10.401,22.4659,10.5054,10.5055,10.5057,16.4563,21.1792,48.1522,56.4478,30.62
4181,7/28/2020,21.3665,10.2159,34.8211,10.2834,38.2604,10.3294,22.3007,10.4118,10.4119,10.4121,16.456,21.1786,47.5608,55.2788,30.6526
4180,7/27/2020,21.3885,10.2411,34.9251,10.3172,38.3979,10.3693,22.393,10.4653,10.4654,10.4655,16.4557,21.1516,47.87,55.8738,30.6782
4179,7/24/2020,21.3473,10.1962,34.7407,10.2573,38.155,10.2988,22.2305,10.3727,10.3728,10.373,16.4547,21.1661,47.5181,55.0793,30.4101
4178,7/23/2020,21.3725,10.2239,34.8552,10.2947,38.307,10.3431,22.3328,10.4304,10.4305,10.4306,16.4544,21.1756,47.8134,55.8492,30.4404
4177,7/22/2020,21.4155,10.2715,35.0503,10.3577,38.5622,10.4166,22.5017,10.5269,10.527,10.5272,16.4541,21.1547,48.4058,56.2313,30.6312
4176,7/21/2020,21.4027,10.2586,34.9978,10.3408,38.4939,10.3969,22.4567,10.5025,10.5026,10.5027,16.4538,21.1328,48.1284,55.9494,30.7427
4175,7/20/2020,21.3779,10.2329,34.8924,10.3066,38.3556,10.3569,22.3647,10.4519,10.452,10.4522,16.4535,21.1016,48.0466,55.712,30.4498
4174,7/17/2020,21.3415,10.1949,34.7376,10.2566,38.1536,10.2986,22.2311,10.3776,10.3777,10.3778,16.4525,21.0783,47.6453,55.296,30.2859
4173,7/16/2020,21.3309,10.1832,34.6892,10.2408,38.0894,10.28,22.1879,10.3527,10.3528,10.3529,16.4522,21.088,47.5075,54.9372,30.2888
4172,7/15/2020,21.3513,10.2067,34.7862,10.2723,38.2174,10.317,22.2736,10.4025,10.4026,10.4027,16.4519,21.0574,47.6702,55.291,30.4751
4171,7/14/2020,21.2898,10.1398,34.511,10.1829,37.8542,10.2115,22.0301,10.2651,10.2651,10.2652,16.4515,21.0608,47.2391,53.856,30.0643
