date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,perc_diff_price_ma7,perc_diff_price_ma21,perc_diff_price_upper_band,perc_diff_price_lower_band
2012-10-11,18.0163,18.181785714285716,18.216761904761903,18.08290075646165,18.151685767972698,0.06878501151104643,0.13403240171791797,18.484826708197737,17.94869710132607,18.03480327236088,17.0163,2.8341717082079656,-0.9185332964355353,-1.1126696644810623,-2.600571194960873,0.3752318659987486
2012-10-12,17.9628,18.15307142857143,18.21337619047619,18.07400440413116,18.12262641905382,0.048622014922660384,0.14383350855748936,18.50104320759117,17.92570917336121,17.986801090786958,16.9628,2.831022711076809,-1.0592526141326974,-1.394972891064802,-2.99643266969052,0.2064868875609156
2012-10-15,18.1081,18.13517142857143,18.202828571428572,18.076530003825148,18.12039158535323,0.04386158152808051,0.1377705089317944,18.47836958929216,17.927287553564984,18.067667030262317,17.1081,2.8395520355661903,-0.14949900084176923,-0.5231281660062179,-2.0447732743477247,0.9985169423352891
2012-10-16,18.2939,18.125114285714286,18.19765714285714,18.092631485023286,18.147085187606578,0.05445370258329163,0.13521482478579014,18.468086792428718,17.92722749328556,18.21848901008744,17.2939,2.85035383816926,0.9226338521896084,0.5260926163522361,-0.9521577817125765,2.004343014417049
2012-10-17,18.3715,18.126128571428573,18.198890476190474,18.113288412058598,18.18161054335941,0.06832213130081399,0.13814417135259105,18.475178818895657,17.92260213348529,18.320496336695815,17.3715,2.854830932310405,1.3356091150500922,0.9395505201509232,-0.5643459646498961,2.4434470049517425
2012-10-18,18.3272,18.15564285714286,18.199109523809526,18.129133714869074,18.20400892130412,0.07487520643504553,0.1372004237938803,18.473510371397285,17.924708676221766,18.324965445565272,17.3272,2.8522775211411493,0.9360793948728827,0.6989091415517686,-0.7983236468052086,2.196141929908746
2012-10-19,18.0235,18.157614285714285,18.183828571428574,18.121308995249144,18.176238318026563,0.05492932277741858,0.13763925923935047,18.459107089907274,17.908550052949874,18.12398848185509,17.0235,2.834594742427166,-0.7441078908884862,-0.889552924951177,-2.416884012024721,0.6377781621223666
2012-10-22,18.0322,18.159885714285714,18.169304761904762,18.11470832893439,18.154078576791708,0.0393702478573168,0.1358496727220713,18.441004107348906,17.897605416460618,18.062796160618362,17.0322,2.835105670124395,-0.7080983700586431,-0.7603329704903578,-2.267078378394797,0.7464124374140817
2012-10-23,17.7716,18.132571428571428,18.14244761904762,18.089292897161474,18.09523571882375,0.005942821662276998,0.1573932523791388,18.457234123805897,17.82766111428934,17.868665386872788,16.7716,2.8196869797515207,-2.0311701173300563,-2.0867430003354777,-3.8580326127411007,-0.3154533879298551
2012-10-24,17.7172,18.07672857142857,18.114942857142857,18.061730460334697,18.037076377466253,-0.024654082868444505,0.1830567395494722,18.481056336241803,17.74882937804391,17.76768846229093,16.7172,2.8164381295180423,-2.0292629277119016,-2.244953249626685,-4.311382928689662,-0.17852357056370755
2012-10-25,17.7703,18.00192857142857,18.099004761904762,18.040143018828424,17.99603385785606,-0.04410916097236495,0.19745180384552516,18.49390836959581,17.704101154213713,17.769429487430312,16.7703,2.8196094647627663,-1.3034589817199072,-1.8497423335833576,-4.072009868127225,0.3725252009605096
